Date / Time,CPU Usage %,Temperature C
2022-05-10 22:51:33.403633,0.9,56.9
2022-05-10 22:51:43.635226,0.4,56.4
2022-05-10 22:51:53.886902,1.4,56.9
2022-05-10 22:52:04.076301,0.6,56.9
2022-05-10 22:52:14.280733,1.2,56.9
2022-05-10 22:52:24.489148,0.4,56.4
2022-05-10 22:52:34.762506,0.8,56.4
2022-05-10 22:52:44.972476,0.4,56.4
2022-05-10 22:52:55.184010,0.4,55.8
2022-05-10 22:53:05.489634,0.7,55.8
2022-05-10 22:53:15.698109,0.6,55.8
2022-05-10 22:53:25.900146,1,55.8
2022-05-10 22:53:36.110102,0.7,56.4
2022-05-10 22:53:46.544031,0.5,55.8
2022-05-10 22:53:56.754259,0.5,56.4
2022-05-10 22:54:07.068352,0.3,56.4
2022-05-10 22:54:17.277408,0.6,56.4
2022-05-10 22:54:27.472482,0.5,55.8
2022-05-10 22:54:37.722470,0.3,56.4
2022-05-10 22:54:47.941550,0.3,55.8
2022-05-10 22:54:58.151561,0.7,55.8
2022-05-10 22:55:08.369388,0.7,56.4
2022-05-10 22:55:18.628084,0.6,55.8
2022-05-10 22:55:28.831523,15.3,59.6
2022-05-10 22:55:39.034446,0.6,56.9
2022-05-10 22:55:49.241955,0.5,56.9
2022-05-10 22:55:59.526605,0.4,56.9
2022-05-10 22:56:09.748444,0.8,56.9
2022-05-10 22:56:19.952516,0.6,57.5
2022-05-10 22:56:30.238401,10.6,59.1
2022-05-10 22:56:40.420155,5,57.5
2022-05-10 22:56:50.629764,0.7,56.9
2022-05-10 22:57:00.876931,0.4,57.5
2022-05-10 22:57:11.143552,0.5,56.4
2022-05-10 22:57:21.342484,13.2,59.1
2022-05-10 22:57:31.549420,7.6,58
2022-05-10 22:57:41.742441,2,58
2022-05-10 22:57:51.937958,0.4,56.9
2022-05-10 22:58:02.142207,0.5,56.9
2022-05-10 22:58:12.386971,8,58
2022-05-10 22:58:22.606540,10.1,59.1
2022-05-10 22:58:32.839221,14,59.6
2022-05-10 22:58:43.032458,16.5,60.1
